Top 100,Org Rk,Name,Org,Pos,Current Level,ETA,FV,Risk,Trend,Age,Ht,Wt,B,T,Sign Yr,Sign Mkt,Sign Org,Bonus,Signed From,Report,Video,PlayerId
,35,"Ricky Vanasco","LAD","SIRP","ST",2024,"40","Med",,"25.4138888","6' 3""","180","R","R",2017,"Draft","TEX",200000,"Williston HS (FL)","Vanasco has had injuries and velocity fluctuations several times since his 2019 breakout. At times he was working with three plus pitches, while at others he was laboring in the low-90s, and this track record, plus Vanasco's violent mechanics, prompted relief projection. The Rangers never really gave him a shot to perform in that role under their org umbrella, and after two rough starts in 2023, he was DFA'd and traded to the Dodgers for young lefty Luis Valdez. The Dodgers essentially shut Vanasco down to rework his mechanics on the complex. He re-emerged as a single-inning reliever during the second half of 2023 and seemingly scrapped his changeup. He sat 94-96 with a more consistent breaking ball. He utilizes a vertically oriented attack with gut-high fastballs and downer breaking balls. Vanasco can dump a curveball-shaped pitch into the zone for strikes or elicit chase with something more slider-y, but both pitches are in the 83-86 mph range and have mostly vertical movement. Vanasco came out in the spring of 2024 once again sitting in that range during Cactus League action, again seemingly without a changeup. He has the stuff of a solid middle reliever.",,"sa3004863"
,35,"Eduardo Garcia","MIL","SS","ST",2025,"35+","Med",,"21.6722222","6' 1""","190","R","R",2018,"J2","MIL",1100000,"Venezuela","Garcia still presents enough of a power and defense combo to be big league utility depth. He's an acrobatic shortstop with a plus arm, and he's still only 21 and has just shy of average big league raw power while remaining physically projectable. His skills and issues are similar to Tim Beckham's, and my hope is Garcia can have that kind of brief peak amid more common years when he's bottom-of-the-roster depth. Garcia will probably always strike out at a 30% or so clip and will be an inconsistent offensive performer, but shortstops who play defense like this are rare.","Oo8SzAr5cp4","sa3008751"
,35,"Jordarlin Mendoza","NYY","SIRP","CPX",2026,"35+","High",,"20.3277777","6' 0""","175","R","R",2021,"Intl15","NYY",,"Dominican Republic","Mendoza has perhaps the best present stuff of any Yankees pitcher who spent 2023 on the complex, but he also walked nearly a batter per inning and profiles solely in relief. The loose-bodied righty pumps exploding mid-90s gas from a low three-quarters slot and has a gyro-style slider that plays well off of his heater. Assuming Mendoza can corral his mechanics, he projects as a solid middle reliever.",,"sa3017321"
,36,"Sauryn Lao","LAD","SIRP","ST",2024,"40","Med",,"24.5777777","6' 2""","190","R","R",2015,"J2","LAD",,"Dominican Republic","Lao spent seven years in the Dodgers' system as a hitter before he moved to the mound in 2023. He pitched 57 innings as a reliever and tallied a 73-to-11 strikeout-to-walk ratio. Lao uses a slider-heavy approach, which gives him the best chance to throw strikes because his feel for fastball location is poor. He might have a 70-grade slider soon, as his current offering bends in around 88 mph and tends to be located well. Lao sat 93-95 for most of 2023, but he came out pumping 95-98 in the spring of 2024. His fastball has some round-down elements and Lao's lousy command of it doesn't help, but he's still so new to pitching that one can hope he'll improve his ability to locate enough to be a middle-inning option.",,"sa917331"
,36,"Pedro Ibarguen","MIL","CF","DSL",2029,"35+","Med",,"17.6944444","5' 10""","180","R","R",2023,"Intl15","MIL",,"Venezuela","Ibarguen's defensive versatility (he's already played second, third and all three outfield spots) and pound-for-pound strength separate him from some of the other small-framed hitters from Milwaukee's DSL group. He slashed .311/.437/.447 in the 2023 DSL, runs well, swings hard for a player his size (his top hand is very involved with his swing), and has demonstrated above-average feel for contact. This is a potential super utility type who is probably several years away from the big leagues.",,"sa3021254"
,36,"Carlos Narvaez","NYY","C","ST",2024,"35+","Low",,"25.2944444","5' 11""","200","R","R",2015,"J2","NYY",,"Venezuela","Added to the Yankees 40-man roster in November, Narvaez is poised to be their third or fourth catcher entering 2024, depending on how the Trevino/Rortvedt situation works out. The potential for big impact here is very low. While Narvaez has tended to perform a bit above the league average at each of his minor league stops, his vulnerability to high fastballs is rather extreme and big league pitchers will be able to get him out at will if they can execute heaters at the belt and above. Narvaez's carrying tool is his incredibly quick release and accurate arm. He allowed steals at a 79% success rate in 2023 but the visual scouting report of his ability to control the run game is much more encouraging than those results even though his pure arm strength appears to be pretty generic. As a receiver and ball-blocker, Narvaez is only fair. He's a competent defender who can punish a mistake breaking ball on offense, a skill set typical of a third catcher.",,"sa916966"
,37,"Eriq Swan","LAD","SIRP",,2026,"40","High",,"22.3666666","6' 6""","240","R","R",2023,"Draft","LAD",466500,"Middle Tennessee State","Swan had an ERA north of 6.00 in his draft year but still presents the Dodgers' dev group with exciting raw material and lots of late-bloomer traits. For one, Swan throws really hard and was holding 96-98 mph velo as a starter at Middle Tennessee. He's also huge, at a broad-shouldered 6-foot-6, and is coming from a smaller program. It's feasible things might click for Swan from a command standpoint and enable him to start, but his current level of control is too raw to project him in that role. Swan is capable of missing bats with all three of his pitches, be it his upper-90s heater, his mid-80s slider, or his low-90s changeup. He works with extreme downhill plane, so steep it might actually be good, especially for his slider's playability. Swan is a very interesting developmental pitching prospect with a wide range of potential outcomes, the most likely of which puts him in a middle-inning relief role.",,
,37,"Luiyin Alastre","MIL","3B","DSL",2029,"35+","Med",,"18.4583333","5' 10""","160","S","R",2023,"Intl15","MIL",,"Venezuela","Alastre hit .287/.387/.375 with more walks than strikeouts in the 2023 DSL. He's of medium build and has bottom-of-the-scale power right now, but he demonstrated the best feel for contact of any hitter from the org's two-team DSL group. Alastre's early career contact performance is exceptional (86% contact, 92% in-zone contact), and amazing for a teenage switch-hitter. He badly needs to get stronger. While small-ish, Alastre isn't so diminutive as to warrant skepticism that he will; he's only 5-foot-10 or so, but he's built like a Division-I infield prospect and should add a fair bit of strength. Alastre has played three different infield positions and it's hard to truly know where he'll settle in this regard, making it tough to have a very specific projection for him. For now, he's a hit-tool sleeper at the bottom of the system.",,"sa3021210"
,37,"Alexander Vargas","NYY","SS","A+",2026,"35+","Med",,"22.3694444","5' 10""","165","S","R",2018,"J2","NYY",2500000,"Cuba","I'm still somewhat smitten with Vargas because of his acrobatic defense. His range and athleticism are remarkable, and he's capable of rare defensive feats because of his talent and effort level, which was excellent late in 2023. Vargas is still plagued by chase and a lack of strength on offense. He needs to wind up his entire body just to swing hard, the baseball equivalent of Happy Gilmore's golf swing. He's still sinewy and lean like a high school defensive back, definitely behind where most 22-year-olds tend to be from a physical maturity standpoint. Most likely, Vargas is an emergency shortstop in the Sergio Alcantara mold. If he gets strong enough to shorten up his swing, he could be a more consistently rosterable bench infielder in his later 20s.","1-63oQOd8s0","sa3008851"
,38,"Jesus Made","MIL","2B",,2030,"35+","Med",,"16.8444444","6' 1""","170","S","R",2024,"Intl15","MIL",950000,"Dominican Republic","Made is a compact, switch-hitting infielder. While he's quite athletic, Made's power is limited by his lack of size. His swing is a bit long, but Made is a relatively compact athlete and should be on time enough to spray line drives everywhere. Whether he has the arm strength to play shortstop will influence whether he has a chance to be a regular. Made signed for just shy of $1 million in January and will begin his career in the 2024 DSL.",,
